business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,avg_rating,review_count,is_open,categories,nearest_attraction_id,nearest_attraction_name,nearest_attraction_category,distance_km
r_BrIgzYcwo1NAuG9dLbpg,"""Pai Northern Thai Kitchen""",Entertainment District,"""18 Duncan Street""",Toronto,ON,M5H 3G8,43.647866,-79.3886415,4.5,1494,1,Food;Ethnic Food;Specialty Food;Restaurants;Thai,101,Princess of Wales Theatre,Performing Arts,0.12427183698729963
aLcFhMe6DDJ430zelCpd2A,"""Khao San Road""",Entertainment District,"""11 Charlotte St""",Toronto,ON,M5V 2H5,43.6464107,-79.3934801,4.0,1270,1,Thai;Restaurants,146,TIFF Bell Lightbox,Landmark,0.3311023110077377
RtUvSWO_UZ8V3Wpj0n077w,"""KINKA IZAKAYA ORIGINAL""",Downtown Core,"""398 Church St""",Toronto,ON,M5B 2A2,43.6605244,-79.3789268,4.0,1184,1,Tapas Bars;Japanese;Nightlife;Tapas/Small Plates;Restaurants;Pubs;Bars,153,Toronto Metropolitan University Theatre (formerly known as Ryerson Theatre),Performing Arts,0.17656166771309154
N93EYZy9R0sdlEvubu94ig,"""Banh Mi Boys""",Queen Street West,"""392 Queen Street W""",Toronto,ON,M5V 2A9,43.648827,-79.3969701,4.0,973,1,Vietnamese;Delicatessen;Asian Fusion;Restaurants;Sandwiches;Food,62,Graffiti Alley,Landmark,0.19456210358680862
iGEvDk6hsizigmXhDKs2Vg,"""Seven Lives Tacos Y Mariscos""",Kensington Market,"""69 Kensington Avenue""",Toronto,ON,M5T 2K2,43.6543411559,-79.4004796073,4.5,945,1,Mexican;Restaurants;Seafood,144,Theatre Passe Muraille,Performing Arts,0.6797673912761384
RwRNR4z3kY-4OsFqigY5sw,"""Uncle Tetsu's Japanese Cheesecake""",Downtown Core,"""598 Bay Street""",Toronto,ON,M5G 1M5,43.6559689,-79.3840134,3.5,848,1,Food;Desserts;Bakeries;Japanese;Restaurants,95,Mysteriously Yours Mystery Dinner Theatre,Performing Arts,0.2847016660562924
-av1lZI1JDY_RZN2eTMnWg,"""Salad King Restaurant""",Downtown Core,"""340 Yonge Street""",Toronto,ON,M5B 1R8,43.6576479,-79.3817284,3.5,808,1,Restaurants;Thai,82,Little Canada,Attraction,0.14501660283328416
zgQHtqX0gqMw1nlBZl2VnQ,"""Momofuku Noodle Bar""",Financial District,"""190 University Avenue, Ground Floor""",Toronto,ON,M5H 0A3,43.649678,-79.386275,3.0,759,1,American (New);Ramen;Asian Fusion;Restaurants;Chinese;Soup;Japanese;Korean,54,Four Seasons Centre for the Performing Arts,Performing Arts,0.11444250726470895
uAAWlLdsoUf872F1FKiX1A,"""Bang Bang Ice Cream and bakery""",Ossington Strip,"""93a Ossington Avenue""",Toronto,ON,M6J 2Z2,43.6462863,-79.4194744,4.0,746,1,Food;Desserts;Ice Cream & Frozen Yogurt,141,The Theatre Centre,Performing Arts,0.5572857453796282
f5O7v_X_jCg2itqacRfxhg,"""Sansotei Ramen""",Downtown Core,"""179 Dundas Street W""",Toronto,ON,M5G 1Z8,43.6550038,-79.3864731,4.0,701,1,Ramen;Japanese;Restaurants;Noodles,133,Textile Museum of Canada,Museum,0.06624552629454569
